Particulars, 3-2000, 4-2000, 5-2000, 6-2000, 7-2000, 8-2000, 9-2000, 10-2000, 11-2000, 12-2000, 3-2002, 4-2002, 5-2002, 6-2002, 7-2002, 8-2002, 9-2002, 10-2002, 11-2002, 12-2002, 3-2012, 4-2012, 5-2012, 6-2012, 7-2012, 8-2012, 9-2012, 10-2012, 11-2012, 12-2012, 8-2013, 9-2013, 10-2013, 11-2013, 12-2013, 1-2014, 2-2014, 3-2014, 4-2014, 5-2014
Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474000.00,436000.00,589000.00,718000.00,800000.00,720000.00,738000.00,669000.00,504000.00,421000.00
Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2723.00,2825.00,1906.00,2110.00,2553.00,2110.00,2076.00,2553.00,4391.00,5072.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000.00,4000.00,5619.00,6095.00,7428.00,5619.00,6571.00,5237.00,20570.00,13904.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12531.00,12126.00,8893.00,15360.00,12531.00,12126.00,14147.00,16168.00,30316.00,35166.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35093.00,30219.00,40454.00,44353.00,40454.00,45815.00,35093.00,46303.00,41916.00,41428.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.I.S.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18708.15,14091.85,9475.56,11176.30,13362.97,12634.08,14334.82,29398.52,29398.52,30856.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17921.47,15617.28,12545.03,17921.47,20225.66,15873.30,12032.99,20737.70,28674.35,38403.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15644.00,11552.00,8424.00,21179.00,30806.00,20939.00,13959.00,21901.00,23345.00,23346.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31593.00,17325.00,11975.00,12484.00,18344.00,17070.00,16306.00,23185.00,30065.00,24969.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6105.00,2458.00,2335.00,3032.00,4138.00,3483.00,3155.00,2499.00,3114.00,2828.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8492.00,5530.00,4740.00,5332.00,7109.00,7702.00,5925.00,8689.00,10960.00,12047.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14741.00,16281.00,12981.00,15401.00,18481.00,20241.00,22002.00,20021.00,22443.00,19581.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9989.00,6855.00,12926.00,16060.00,15277.00,20369.00,16843.00,16256.00,26832.00,24285.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10532.00,8526.00,9779.00,9654.00,8902.00,6896.00,7772.00,18430.00,11284.00,9528.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5909.00,4787.00,3590.00,4862.00,6582.00,4862.00,5236.00,8004.00,8078.00,7855.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224717.00,151002.00,87455.00,19990.00,38968.00,47987.00,85753.00,99038.00,133884.00,116483.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4129.00,2154.00,3471.00,8079.00,4788.00,4788.00,4189.00,3890.00,5566.00,12388.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2827.00,1960.00,2185.00,6425.00,3084.00,1478.00,2153.00,3213.00,1638.00,2088.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7230.00,5784.00,9333.00,14460.00,9465.00,11042.00,9727.00,11042.00,17483.00,18534.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5518.00,4314.00,2207.00,2709.00,2006.00,2558.00,3260.00,3762.00,4064.00,10233.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5498.00,4023.00,3151.00,4224.00,7107.00,7040.00,4827.00,6704.00,6570.00,5631.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9504.00,6831.00,10691.00,27025.00,30589.00,47221.00,25541.00,30589.00,30589.00,33262.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3484.00,3290.00,1790.00,2081.00,4597.00,2613.00,2903.00,4645.00,5516.00,6485.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10830.00,5993.00,4731.00,6203.00,6729.00,5047.00,4521.00,9988.00,14615.00,12407.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73300.00,55960.00,33103.00,38620.00,66206.00,50443.00,40197.00,69359.00,82758.00,98521.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63437.00,54077.00,70716.00,118554.00,106075.00,69676.00,53038.00,74876.00,107115.00,147672.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Excluding Pakistan and Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181529.00,126308.00,107626.00,103401.00,145986.00,130983.00,128273.00,172673.00,212180.00,248196.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Persian Gulf,3369.00,4965.00,3964.00,6470.00,10029.00,7709.00,4920.00,5085.00,4149.00,3701.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
