Name of Countries,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
USA,329147,348182,410803,526120,611165,696739,799062,804933,827140,931292,980688,1039947,1085309,1118983,1213624,1296939
UK,405472,387846,430917,555907,651803,734240,796191,776530,769251,759494,798249,788170,809444,942562,867601,941883
Bangladesh,431312,435867,454611,477446,456371,484401,480240,541884,468899,431962,463543,487397,524923,838860,1133879,1380409
Srilanka,112813,108008,109098,128711,136400,154813,204084,218805,239995,266515,305853,296983,262345,301601,299513,297418
Canada,88600,93598,107671,135884,157643,176567,208214,222364,224069,242372,259017,256021,255222,268485,281306,317239
France,102434,78194,97654,131824,152258,175345,204827,207802,196462,225232,231423,240674,248379,246101,230854,238707
Germany,80011,64891,76868,116679,120243,156808,184195,204344,191616,227720,240235,254783,252003,262026,248314,265928
Japan,80634,59709,77996,96851,103082,119292,145538,145352,124756,168019,193525,220015,220283,239106,207415,208847
Australia,52691,50743,58730,81608,96258,109867,135925,146209,149074,169647,192592,202105,218967,219516,263101,293625
Malaysia,57869,63748,70750,84390,96276,107286,112741,115794,135343,179077,208196,195853,242649,239762,272941,301961
Singapore,42824,44306,48368,60710,68666,82574,92908,97851,95328,107487,119022,131452,143025,150731,152238,163688
China (Main),13901,15422,21152,34100,44897,62330,88103,98093,100209,119530,142218,168952,174712,181020,206322,251313
Russia,15154,18643,26948,47077,56446,62203,75543,91095,94945,122048,144312,177526,259120,269832,172419,227749
Italy,41351,37136,46908,65561,67642,79978,93540,85766,77873,94100,100889,98743,93951,91589,88091,95417
Korea (South),27150,29374,35584,47835,49895,70407,84583,79802,70485,95587,108680,109469,112619,106870,102993,111076
Thailand,18623,19789,26273,33442,41978,46623,50037,58065,67309,76617,92404,105141,117136,121362,115860,119663
Nepal,41135,43758,43597,53207,77024,91552,83037,78133,88785,104374,119131,125375,113790,126416,154720,161097
Pakistan,52762,2946,10364,67416,88609,83426,106283,85529,53137,51739,48640,59846,111794,96434,124924,104720
Afghanistan,1248,6012,10079,12705,14025,18799,23045,32438,50446,73389,89605,95231,111370,115569,114406,123330
Others,542151,476192,561843,699225,827929,933917,1113408,1191814,1142577,1329491,1471000,1524062,1610560,1742274,1776612,1903402
Total,2537282,2384364,2726214,3456698,3918610,4447167,5081504,5282603,5167699,5775692,6309222,6577745,6967601,7679099,8027133,8804411
